significance,loghbayesiancirc,standard,circenergy,circinc,circnullenergy,circnullinc,powerlaw,energyitf1,energyitf2,skypositiontheta,skypositionphi,jobNumber,nPixels,peakTime,peakFrequency,minTime,minFreq,deltaTime,deltaFreq,injIdx,triggerIdx,uniqIdx,filename,injscale
153.1627,153.1627,469.4599,424.9644,273.8402,44.4955,195.6197,180.4568,134.5045,334.9554,1.2521,0.9670,0,31,1165173983.1106,91.8573,1165173981.8125,66.0000,2.1250,56.0000,512,71,80,1,10
29.7719,29.7719,96.9445,85.8828,48.6365,11.0617,48.3079,29.7916,45.9150,51.0294,1.3426,0.7820,0,7,1165173970.0015,143.8640,1165173966.5000,142.7500,7.0000,2.0000,514,68,81,1,10
42.9527,42.9527,142.3480,130.9824,72.2368,11.3656,70.1112,53.5879,42.0330,100.3150,1.3907,0.6926,0,13,1165173971.8918,144.5324,1165173966.5000,142.7500,11.0000,3.5000,522,70,82,1,10
42.4909,42.4909,126.4094,117.5019,62.7863,8.9075,63.6231,52.7936,63.4704,62.9390,1.2963,0.8896,0,8,1165173887.9036,246.1284,1165173887.1250,241.0000,1.5000,10.0000,525,51,83,1,10
408.4167,408.4167,1227.7145,1126.1004,653.1450,101.6141,574.5695,509.7848,470.2085,757.5060,1.3426,0.7820,0,75,1165173992.7728,121.9969,1165173989.9375,70.0000,4.5000,140.0000,532,74,84,1,10
1022.9226,1022.9226,2672.4646,2521.9692,1537.8430,150.4954,1134.6216,996.5321,849.4957,1822.9689,1.2963,0.8733,0,114,1165173994.1510,94.1287,1165173990.0625,34.0000,5.3750,180.0000,533,75,85,1,10
101.4774,101.4774,327.5966,297.2542,165.0946,30.3424,162.5019,141.2634,157.1404,170.4562,1.3426,0.7820,0,24,1165173998.6231,114.0030,1165173997.1875,90.0000,2.5000,56.0000,543,80,86,1,10
91.9279,91.9279,289.3610,260.1454,147.6527,29.2157,141.7083,133.0965,126.9106,162.4504,1.2963,0.8733,0,19,1165174003.6608,176.6015,1165174003.2188,140.0000,0.7500,80.0000,547,82,87,1,10
51.5577,51.5577,147.3520,139.5841,90.9372,7.7679,56.4148,52.2855,41.9813,105.3708,1.2963,0.8733,0,10,1165173997.4051,52.2371,1165173995.2500,48.5000,4.0000,7.0000,551,76,88,1,10
124.8682,124.8682,428.6318,375.3526,233.3053,53.2793,195.3266,159.1841,126.7118,301.9201,1.2521,0.9670,0,33,1165173983.8050,193.8914,1165173980.8750,181.0000,6.2500,26.0000,556,72,89,1,10
28.4355,28.4355,104.6865,90.2787,52.6338,14.4078,52.0527,37.9663,47.4439,57.2426,1.2963,0.8733,0,10,1165174007.1592,141.5675,1165174003.5000,140.2500,8.0000,2.5000,559,78,90,1,10
700.6734,700.6734,1820.2724,1734.8094,1011.7778,85.4630,808.4946,741.3559,638.7046,1181.5678,1.3426,0.7820,0,81,1165174014.9755,98.4262,1165174011.9375,46.0000,4.1250,132.0000,560,78,91,1,10
